Run,BioSample,SampleName,LibraryName,LibraryStrategy,LibrarySource,LibraryLayout,Platform,Model,spots,bases,avgLength,size_MB,download_path
SRR19606948,SAMN28950048,HTP_11_17_2020_amplicon,HTP_11_17_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,13768298,4158025996,302,1305,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19606/SRR19606948/SRR19606948.lite.1
SRR19606946,SAMN28950049,HTP_11_24_2020_amplicon,HTP_11_24_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11435742,3453594084,302,1127,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606946/SRR19606946.lite.1
SRR19606952,SAMN28950046,HTP_1_7_21_enriched,HTP_1_7_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2138737,432024874,202,126,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606952/SRR19606952.lite.1
SRR19606936,SAMN28950054,HTP_2_16_21_enriched,HTP_2_16_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2509743,506968086,202,148,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606936/SRR19606936.lite.1
SRR19606938,SAMN28950053,HTP_2_15_21_enriched,HTP_2_15_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2587115,522597230,202,152,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606938/SRR19606938.lite.1
SRR19606940,SAMN28950052,HTP_2_10_21_enriched,HTP_2_10_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,3274504,661449808,202,197,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606940/SRR19606940.lite.1
SRR19606942,SAMN28950051,HTP_12_22_2020_amplicon,HTP_12_22_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11561124,3491459448,302,1104,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606942/SRR19606942.lite.1
SRR19606944,SAMN28950050,HTP_12_16_2020_amplicon,HTP_12_16_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,9569917,2890114934,302,931,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606944/SRR19606944.lite.1
SRR19606934,SAMN28950055,HTP_2_18_21_enriched,HTP_2_18_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,7682863,1551938326,202,459,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606934/SRR19606934.lite.1
SRR19606928,SAMN28950057,HTP_2_21_21_enriched,HTP_2_21_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2296279,463848358,202,137,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606928/SRR19606928.lite.1
SRR19606926,SAMN28950058,HTP_2_23_21_enriched,HTP_2_23_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2288966,462371132,202,136,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606926/SRR19606926.lite.1
SRR19606930,SAMN28950056,HTP_2_2_21_enriched,HTP_2_2_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,5499449,1110888698,202,325,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606930/SRR19606930.lite.1
SRR19606916,SAMN28950063,HTP_2_9_21_enriched,HTP_2_9_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,3459611,698841422,202,202,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606916/SRR19606916.lite.1
SRR19606918,SAMN28950062,HTP_2_7_21_enriched,HTP_2_7_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4449732,898845864,202,265,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606918/SRR19606918.lite.1
SRR19606920,SAMN28950061,HTP_2_4_21_enriched,HTP_2_4_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,5070965,1024334930,202,300,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606920/SRR19606920.lite.1
SRR19606922,SAMN28950060,HTP_2_28_21_enriched,HTP_2_28_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2687521,542879242,202,158,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19606/SRR19606922/SRR19606922.lite.1
